Art	ART 20A		4004	6:00p-9:30p MTWTh	A 220	Synicky C M	19	26	16	0	106	18	43	58	58	4.1	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1802616	Art	Synicky	Christopher	1802616	7	Winter 2017
Art History	AHIS 1	3A	1012	8:00a-10:05a MTWTh	A 214	Mousavi A	164	81	65	3	446	37	55	70	71	3.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1929811	Art	Mousavi	Ali	1929811	14	Winter 2017
Art History	AHIS 1	3A	1013	Arrange-9Hours 	N/A ONLINE-E	Hesser M	26	22	17	0	117	23	42	56	56	3.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2029349	Art	Hesser	Martina	2029349	10	Winter 2017
Art History	AHIS 2	3A	1015	10:15a-12:20p MTWTh	A 214	Rosenblum B T	0	0	0	0	0	0	0	0	0	4.9	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2079267	Art	Rosenblum	Beth	2079267	7	Winter 2017
Art History	AHIS 2	3A	1016	Arrange-9Hours 	N/A ONLINE-E	Meyer W J	353	40	5	1	463	77	85	86	87	4.3	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=451061	Art	Meyer	Walter	451061	176	Winter 2017
Art History	AHIS 2	3A	1017	Arrange-9Hours 	N/A ONLINE-E	Meyer W J	353	40	5	1	463	77	85	86	87	4.3	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=451061	Art	Meyer	Walter	451061	176	Winter 2017
Art History	AHIS 3	3A	4001	6:30p-9:30p TWTh	A 214	Mihaylovich K W	22	22	10	0	71	31	62	77	77	4.3	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=240963	Art	Mihaylovich	Kristin	240963	100	Winter 2017
Art History	AHIS 11	3A	1018	Arrange-9Hours 	N/A ONLINE-E	Thayer J	167	58	22	1	340	50	67	73	73	4.8	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1907924	Art	Thayer	Jill	1907924	7	Winter 2017
Art History	AHIS 17	3A	1019	Arrange-9Hours 	N/A ONLINE-E	O'Leary T F	97	76	56	2	410	24	43	56	57	3.3	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1065094	Art	O'Leary	Thomas	1065094	25	Winter 2017
Art History	AHIS 52	3A	1020	Arrange-9Hours 	N/A ONLINE-E	Fier B	43	103	108	2	493	9	30	52	52	3.4	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=100809	Photography	Fier	Blue	100809	51	Winter 2017
Art History	AHIS 52	3A	1021	Arrange-9Hours 	N/A ONLINE-E	Fier B	43	103	108	2	493	9	30	52	52	3.4	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=100809	Photography	Fier	Blue	100809	51	Winter 2017
Art History	AHIS 72	3A	1022	Arrange-9Hours 	N/A ONLINE-E	Mihaylovich K W	309	199	57	8	752	42	68	76	77	4.3	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=240963	Art	Mihaylovich	Kristin	240963	100	Winter 2017
Arts & Crafts	ART E15		9504	12:30p-2:45p F	EC 1227 204	Tirr C A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E15		9582	9:00a-11:15a M	N/A LEVIN CT	Harrison A B	0	0	0	0	0	0	0	0	0	4.0	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1986901	Art	Harrison	Adam	1986901	4	Winter 2017
Arts & Crafts	ART E16		9505	9:00a-11:50a W	EC 1227 204	Reynolds T	0	0	0	0	0	0	0	0	0	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1208171	Art	Reynolds	Trenton	1208171	3	Winter 2017
Arts & Crafts	ART E16		9506	9:00a-11:50a Th	EC 1227 204	Adams L K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E16		9507	1:00p-3:50p Th	EC 1227 204	Adams L K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E19		9581	9:00a-11:50a M	EC 1227 205	James N M	0	0	0	0	0	0	0	0	0	3.2	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=1486373	Art	James	Nicole	1486373	10	Winter 2017
Arts & Crafts	ART E20		9508	9:00a-11:15a M	EC 1227 204	Benson J K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E20		9576	12:30p-2:45p T	MALIBU BLUFFS	Trentham B M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E21		9509	9:00a-11:15a Th	EC 1227 205	Brutsche J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E21		9510	11:30a-1:45p M	EC 1227 204	Benson J K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E22		9511	9:00a-11:15a T	EC 1227 204	Manseau F J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E22		9512	11:30a-1:45p T	EC 1227 204	Manseau F J	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E24		9513	9:00a-10:50a F	N/A 1450OCEN	Lewis M T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E25		9514	11:00a-12:50p F	N/A 1450OCEN	Lewis M T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E30		9515	12:00p-2:50p W	EC 1227 204	Tirr C A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Arts & Crafts	ART E80		9516	11:30a-1:45p Th	N/A 1450OCEN	Ryza S V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Astronomy	ASTRON 1	5A	1038	Arrange-9Hours 	N/A ONLINE-E	Balm S P	114	176	121	15	506	23	58	82	85	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=118208	Earth Science	Balm	Simon	118208	241	Winter 2017
Astronomy	ASTRON 1	5A	1039	Arrange-9Hours 	N/A ONLINE-E	Balm S P	114	176	121	15	506	23	58	82	85	4.5	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=118208	Earth Science	Balm	Simon	118208	241	Winter 2017
Astronomy	ASTRON 2	5A	1040	8:00a-10:05a MTWTh	DRSCHR 217	Arias Young T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Astronomy	ASTRON 4	5A	4005	5:15p-9:30p MTWTh	DRSCHR 128	Schwartz M J	41	55	19	1	135	31	72	86	86	3.9	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=55396	Earth Science	Schwartz	Michael	55396	113	Winter 2017
Biological Sciences	ANATMY 1	5B	1023	7:30a-11:50a MTWTh	SCI 224	Kanjanapangka J	0	0	0	0	0	0	0	0	0	4.4	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=2140936	Biological Sciences	Kanjanapangka	Julie	2140936	8	Winter 2017
Biological Sciences	ANATMY 1	5B	1024	12:30p-4:45p MTWTh	SCI 224	Breidenthal S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Winter 2017
Biological Sciences	ANATMY 1	5B	1025	12:30p-4:45p MTWTh	SCI 220	Fink S A	59	17	18	0	127	47	60	75	75	4.6	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=204820	Life Science	Fink	Steven	204820	69	Winter 2017
Biological Sciences	ANATMY 1	5B	4002	5:30p-9:50p MTWTh	SCI 220	Covitt G S	17	22	29	0	132	13	30	52	52	4.6	http://www.ratemyprofessors.com/ShowRatings.jsp?tid=709732	Life Science	Covitt	Gary	709732	65	Winter 2017
