Academy of En	ET 88C,FRIA C T 	ET 88C	FRIA C T 					3
Philosophy an	POL SC 1,TAHVILDARANJESS R	POL SC 1	TAHVILDARANJESS R	35	12	1		55
Philosophy an	POL SC 1,GREENE S A	POL SC 1	GREENE S A	12	22	9		50
Philosophy an	POL SC 1,MONTEIRO N	POL SC 1	MONTEIRO N	9	16	6	1	45
Philosophy an	POL SC 2,BERMAN DIANNE R	POL SC 2	BERMAN DIANNE R	15	8	21		76
Philosophy an	POL SC 2,GABLER C L	POL SC 2	GABLER C L	29	7	1		43
Philosophy an	POL SC 2,GABLER C L	POL SC 2	GABLER C L	19	8	4		42
Philosophy an	POL SC 2,BUCKLEY A D	POL SC 2	BUCKLEY A D	9	3	5		34
Philosophy an	POL SC 2,BUCKLEY A D	POL SC 2	BUCKLEY A D	9	7	6		33
Philosophy an	POL SC 2,BERMAN DIANNE R	POL SC 2	BERMAN DIANNE R	6	12	4		35
Philosophy an	POL SC 3,CAMPBELL R K	POL SC 3	CAMPBELL R K	7	6	3		30
Philosophy an	POL SC 5,BERMAN DIANNE R	POL SC 5	BERMAN DIANNE R	4	7	5		21
Philosophy an	POL SC 5,RABACH E R	POL SC 5	RABACH E R	10	4	3		25
Philosophy an	POL SC 5,RABACH E R	POL SC 5	RABACH E R	4	4	5		23
Philosophy an	POL SC 7,BERMAN DIANNE R	POL SC 7	BERMAN DIANNE R	18	10	18	1	71
Philosophy an	POL SC 7,BERMAN DIANNE R	POL SC 7	BERMAN DIANNE R	16	8			27
Philosophy an	POL SC 7,CHALALA E D	POL SC 7	CHALALA E D	15	8	5		44
Philosophy an	POL SC 7,BUCKLEY A D	POL SC 7	BUCKLEY A D	13	9	2	2	34
Philosophy an	POL SC 7,BUCKLEY A D	POL SC 7	BUCKLEY A D	11	7	5		35
Philosophy an	POL SC 21,TAHVILDARANJESS R	POL SC 21	TAHVILDARANJESS R	94	13	10	2	144
Philosophy an	POL SC 22,OIFER E R	POL SC 22	OIFER E R	7	4	1		18
Philosophy an	POL SC 31,DAVIS SH L	POL SC 31	DAVIS SH L	10	8	4		35
Philosophy an	POL SC 31,GABLER C L	POL SC 31	GABLER C L	13	12	2		39
Philosophy an	POL SC 31,GABLER C L	POL SC 31	GABLER C L	23	5	2		43
Philosophy an	POL SC 31,GABLER C L	POL SC 31	GABLER C L	9	6	4		27
Philosophy an	POL SC 31,GABLER C L	POL SC 31	GABLER C L	12	7	6		31
Philosophy an	POL SC 51,OIFER E R	POL SC 51	OIFER E R	10	5			17
Philosophy an	POL SC 51,OIFER E R	POL SC 51	OIFER E R	6	7	5		24
Philosophy an	POL SC 51,KURVINK S J	POL SC 51	KURVINK S J	11	7	1		25
Philosophy an	POL SC 52,OIFER E R	POL SC 52	OIFER E R	2	6	4	1	20
Philosophy an	POL SC 52,KURVINK S J	POL SC 52	KURVINK S J	8	4	5		24
Philosophy an	POL SC 88A,SCHULTZ C K	POL SC 88A	SCHULTZ C K	2				2
Philosophy an	POL SC 88B,SCHULTZ C K	POL SC 88B	SCHULTZ C K	2				3
Philosophy an	POL SC 95,TAHVILDARANJESS R 	POL SC 95	TAHVILDARANJESS R 				14	21
Philosophy an	SOCIOL 1,ROMO R	SOCIOL 1	ROMO R	10	23	7		56
Philosophy an	SOCIOL 1,D DEL PICCOLO G L	SOCIOL 1	D DEL PICCOLO G L	6	16	11		48
Philosophy an	SOCIOL 1,PRECIADO C	SOCIOL 1	PRECIADO C	9	8	3		36
Philosophy an	SOCIOL 1,ROMO R	SOCIOL 1	ROMO R	15	24	8		54
Philosophy an	SOCIOL 1,KLEIN M C	SOCIOL 1	KLEIN M C	29	12	5		49
Philosophy an	SOCIOL 1,MASSEY R A	SOCIOL 1	MASSEY R A	19	7			28
Philosophy an	SOCIOL 1,ROMO R	SOCIOL 1	ROMO R	13	20	6		49
Philosophy an	SOCIOL 1,PRECIADO C	SOCIOL 1	PRECIADO C	10	8	11		48
Philosophy an	SOCIOL 1,ROMO R	SOCIOL 1	ROMO R	15	18	7		52
Philosophy an	SOCIOL 1,LIVINGS G S	SOCIOL 1	LIVINGS G S	8	23	33		125
Philosophy an	SOCIOL 1,DISHMAN W H	SOCIOL 1	DISHMAN W H	8	12	6		31
Philosophy an	SOCIOL 1,DISHMAN W H	SOCIOL 1	DISHMAN W H	8	12	3		32
Philosophy an	SOCIOL 1,MASSEY R A	SOCIOL 1	MASSEY R A	8	13	2		33
Philosophy an	SOCIOL 1,DISHMAN W H	SOCIOL 1	DISHMAN W H	7	10	4		32
Philosophy an	SOCIOL 1,MASSEY R A	SOCIOL 1	MASSEY R A	2	10	9		38
Philosophy an	SOCIOL 1,GHEYTANCHI E	SOCIOL 1	GHEYTANCHI E	26	8	7		46
Philosophy an	SOCIOL 1,GHEYTANCHI E	SOCIOL 1	GHEYTANCHI E	16	9	7		41
Philosophy an	SOCIOL 1,SCAIFE M L	SOCIOL 1	SCAIFE M L	10	8	9		39
Philosophy an	SOCIOL 2,SCAIFE M L	SOCIOL 2	SCAIFE M L	7	13	8	1	42
Philosophy an	SOCIOL 2,SCAIFE M L	SOCIOL 2	SCAIFE M L	7	10	3		38
Philosophy an	SOCIOL 2S,D DEL PICCOLO G L	SOCIOL 2S	D DEL PICCOLO G L	7	12	5		36
Philosophy an	SOCIOL 4,MASSEY R A	SOCIOL 4	MASSEY R A	28	9	2		46
Philosophy an	SOCIOL 4,GHEYTANCHI E	SOCIOL 4	GHEYTANCHI E	20	10	7		44
Philosophy an	SOCIOL 30,MASSEY R A	SOCIOL 30	MASSEY R A	8	11	2		28
Philosophy an	SOCIOL 31,ROMO R	SOCIOL 31	ROMO R	27	10	3		44
Philosophy an	SOCIOL 32,WILLIAMS LEON T K	SOCIOL 32	WILLIAMS LEON T K	19	6	4		37
Philosophy an	SOCIOL 33,LIVINGS G S	SOCIOL 33	LIVINGS G S	3	11	18		43
Philosophy an	SOCIOL 34,LIVINGS G S	SOCIOL 34	LIVINGS G S	6	18	17	1	46
Philosophy an	SOCIOL 88B,SCHULTZ C K	SOCIOL 88B	SCHULTZ C K	2				2
Philosophy an	WOM ST 10,KLEIN M C	WOM ST 10	KLEIN M C	30	3			34
Philosophy an	WOM ST 10,MANOFF R J	WOM ST 10	MANOFF R J	25	12	3		45
Philosophy an	WOM ST 30,KLEIN M C	WOM ST 30	KLEIN M C	23	4	7		44
Photography a	AHIS 52,FIER B	AHIS 52	FIER B	4	11	17		49
Photography a	AHIS 52,FIER B 	AHIS 52	FIER B 	2	3	1	3	12
Photography a	FASHN 1,KOLKO S R	FASHN 1	KOLKO S R	7	10	8		39
Photography a	FASHN 1,AVILES K M	FASHN 1	AVILES K M	15	7	5		39
Photography a	FASHN 1,ARDELL J B	FASHN 1	ARDELL J B	18	4	3		36
Photography a	FASHN 2,LAKE R G	FASHN 2	LAKE R G	16	9	7		35
Photography a	FASHN 3,KHACHMANYAN S	FASHN 3	KHACHMANYAN S	6	7			24
Photography a	FASHN 3,ALLEN A	FASHN 3	ALLEN A	19	5			25
Photography a	FASHN 3,RAIN B L	FASHN 3	RAIN B L	5	15	2		26
Photography a	FASHN 5,LOUIS L N	FASHN 5	LOUIS L N	24	7	5		44
Photography a	FASHN 6A,RAIN B L	FASHN 6A	RAIN B L	3	6	6		26
Photography a	FASHN 6B,ARDELL J B	FASHN 6B	ARDELL J B	4	9	2		21
Photography a	FASHN 7,LAKE R G	FASHN 7	LAKE R G	6	16	1		27
Photography a	FASHN 8,REINER H G	FASHN 8	REINER H G	6	15	6		32
Photography a	FASHN 9A,REINER H G	FASHN 9A	REINER H G	5	12	2		31
Photography a	FASHN 9B,ARMSTRONG J I	FASHN 9B	ARMSTRONG J I	9	5			20
Photography a	FASHN 10,BOYADZHYAN M	FASHN 10	BOYADZHYAN M	2	2	3		12
Photography a	FASHN 11,KHACHMANYAN S	FASHN 11	KHACHMANYAN S	8	3	1		20
Photography a	FASHN 13,LOUIS L N	FASHN 13	LOUIS L N	4	4			20
Photography a	FASHN 15,ARMSTRONG J I	FASHN 15	ARMSTRONG J I	17	5	4		30
Photography a	FASHN 18,ARMSTRONG R W	FASHN 18	ARMSTRONG R W	13	4			23
Photography a	FASHN 19,KOLKO S R	FASHN 19	KOLKO S R	3	13	7		28
Photography a	FASHN 20,IVAS L	FASHN 20	IVAS L	20	10			35
Photography a	PHOTO 1,MYERS A D	PHOTO 1	MYERS A D	11	17	1		44
Photography a	PHOTO 1,MANGUS E P	PHOTO 1	MANGUS E P	12	11	10		45
Photography a	PHOTO 1,SHATTO M M 	PHOTO 1	SHATTO M M 	6	2	2	11	34
Photography a	PHOTO 1,KRETSCHMER H 	PHOTO 1	KRETSCHMER H 	9	4	1	13	29
Photography a	PHOTO 1,MYERS A D	PHOTO 1	MYERS A D	21	14	5		44
Photography a	PHOTO 1,GREGORY C M	PHOTO 1	GREGORY C M	3	17	5		33
Photography a	PHOTO 1,GREGORY C M	PHOTO 1	GREGORY C M	5	11	8		32
Photography a	PHOTO 1,WITHERS J J	PHOTO 1	WITHERS J J	6	8	7		35
Photography a	PHOTO 1,SANSERI J D	PHOTO 1	SANSERI J D	5	2	6		32
Photography a	PHOTO 1,THAWLEY J	PHOTO 1	THAWLEY J	4	8	7		30
Photography a	PHOTO 1,SHATTO M M	PHOTO 1	SHATTO M M	5	4	4		31
Photography a	PHOTO 1,MOHR C D	PHOTO 1	MOHR C D	4	7	4		36
Photography a	PHOTO 1,MANGUS E P	PHOTO 1	MANGUS E P	27	10	4		46
Photography a	PHOTO 1,LEDFORD T M	PHOTO 1	LEDFORD T M	8	6	2		33
Photography a	PHOTO 1,HOVEY I H	PHOTO 1	HOVEY I H	6	7	3		23
Photography a	PHOTO 1,THAWLEY J	PHOTO 1	THAWLEY J	1	7	4	1	28
Photography a	PHOTO 1,SLOWINSKI R	PHOTO 1	SLOWINSKI R	5	3	4		29
Photography a	PHOTO 1,RADSTONE R M	PHOTO 1	RADSTONE R M	16	1	4		31
Photography a	PHOTO 1,MCDONALD S D	PHOTO 1	MCDONALD S D	8	11	4		32
Photography a	PHOTO 2,SANSERI J D	PHOTO 2	SANSERI J D	9	7	3		30
Photography a	PHOTO 2,VALESELLA M D	PHOTO 2	VALESELLA M D	8	4			21
Photography a	PHOTO 2,VALESELLA M D	PHOTO 2	VALESELLA M D	3	5	3		26
Photography a	PHOTO 2,MOULTON S A	PHOTO 2	MOULTON S A	11	5	3		26
Photography a	PHOTO 5,ANDERSON DA	PHOTO 5	ANDERSON DA	8	4	2		24
Photography a	PHOTO 5,PATUGAN R Y	PHOTO 5	PATUGAN R Y	2	5	6		23
Photography a	PHOTO 5,MOHR C D	PHOTO 5	MOHR C D	2	7	4		25
Photography a	PHOTO 5,MCDONALD S D	PHOTO 5	MCDONALD S D	10	4	2	2	28
Photography a	PHOTO 5,HESKETH J C	PHOTO 5	HESKETH J C	7		3		17
Photography a	PHOTO 21,RICHARDSON J W	PHOTO 21	RICHARDSON J W	11	3	1		19
Photography a	PHOTO 29,LOWE JR L D	PHOTO 29	LOWE JR L D	9	8	2		26
Photography a	PHOTO 30,MOHR C D	PHOTO 30	MOHR C D	4	10	2		25
Photography a	PHOTO 30,FULLER R L	PHOTO 30	FULLER R L	12	11	4	1	34
Photography a	PHOTO 31,WITHERS J J	PHOTO 31	WITHERS J J	5	6	3		19
Photography a	PHOTO 32,SANSERI J D	PHOTO 32	SANSERI J D	4	3	5		18
Photography a	PHOTO 33,SANSERI J D	PHOTO 33	SANSERI J D	11	12	4		27
Photography a	PHOTO 37,MOULTON S A	PHOTO 37	MOULTON S A	6	5	5		21
Photography a	PHOTO 39,LOWCOCK F E	PHOTO 39	LOWCOCK F E	4	5	1		19
Photography a	PHOTO 39,WITHERS J J	PHOTO 39	WITHERS J J	2	11	5		26
Photography a	PHOTO 40,LOWCOCK F E	PHOTO 40	LOWCOCK F E	3	3	2		14
Photography a	PHOTO 42,WITHERS J J	PHOTO 42	WITHERS J J	5	4	4		18
Photography a	PHOTO 43,MOHR C D	PHOTO 43	MOHR C D	11	7			22
Photography a	PHOTO 52,FIER B	PHOTO 52	FIER B	12	20	17		66
Photography a	PHOTO 52,FIER B	PHOTO 52	FIER B	1	4	10		25
Photography a	PHOTO 60,ANDERSON DA	PHOTO 60	ANDERSON DA	16	10	4		36
Photography a	PHOTO 88A,LOWCOCK F E	PHOTO 88A	LOWCOCK F E	8				9
Photography a	PHOTO 88B,LOWCOCK F E	PHOTO 88B	LOWCOCK F E	3				3
Photography a	PHOTO 88C,LOWCOCK F E	PHOTO 88C	LOWCOCK F E	1				1
Photography a	PHOTO 90B,MOHR C D	PHOTO 90B	MOHR C D	1				1
Physical Scienc	CHEM 9,PHAM H V	CHEM 9	PHAM H V	3	6	7		27
Physical Scienc	CHEM 9,PHAM H V	CHEM 9	PHAM H V	7	3	5		25
Physical Scienc	CHEM 9,WONG W W	CHEM 9	WONG W W	4	4	9		26
Physical Scienc	CHEM 9,WONG W W	CHEM 9	WONG W W	6	6	5		27
Physical Scienc	CHEM 9,WALKER WAUGH M V	CHEM 9	WALKER WAUGH M V	13	7	7		33
Physical Scienc	CHEM 10,SCHMIDT E	CHEM 10	SCHMIDT E	4	3	6		27
Physical Scienc	CHEM 10,SCHMIDT E	CHEM 10	SCHMIDT E	3	1	5		27
Physical Scienc	CHEM 10,BAUTISTA M R	CHEM 10	BAUTISTA M R	2	7	6		28
Physical Scienc	CHEM 10,BAUTISTA M R	CHEM 10	BAUTISTA M R	4	2	7		28
Physical Scienc	CHEM 10,STRATHEARN M D	CHEM 10	STRATHEARN M D	3	7	1		31
Physical Scienc	CHEM 10,STRATHEARN M D	CHEM 10	STRATHEARN M D	7	4	4		27
Physical Scienc	CHEM 10,LAVALLEE R J	CHEM 10	LAVALLEE R J	1	4	3		26
Physical Scienc	CHEM 10,LAVALLEE R J 	CHEM 10	LAVALLEE R J 	5	4	2	12	28
Physical Scienc	CHEM 10,BAUTISTA M R	CHEM 10	BAUTISTA M R	3	4	4		28
Physical Scienc	CHEM 10,WALKER WAUGH M V	CHEM 10	WALKER WAUGH M V	2	4	6		34
Physical Scienc	CHEM 10,WALKER WAUGH M V	CHEM 10	WALKER WAUGH M V	5	8	9		33
Physical Scienc	CHEM 10,VON HUNGEN P K	CHEM 10	VON HUNGEN P K	8	7	9		33
Physical Scienc	CHEM 10,VON HUNGEN P K	CHEM 10	VON HUNGEN P K	4	6	9		30
Physical Scienc	CHEM 10,RAUDA I E	CHEM 10	RAUDA I E	8	6	3		29
Physical Scienc	CHEM 10,RAUDA I E	CHEM 10	RAUDA I E	13	3	2		29
Physical Scienc	CHEM 10,TAYLOR S M	CHEM 10	TAYLOR S M	9	4	8		30
Physical Scienc	CHEM 10,TAYLOR S M	CHEM 10	TAYLOR S M	9	6	8		29
Physical Scienc	CHEM 10,LAVALLEE R J	CHEM 10	LAVALLEE R J	2	5	3		24
Physical Scienc	CHEM 10,LAVALLEE R J	CHEM 10	LAVALLEE R J	3	2	6		24
Physical Scienc	CHEM 10,LAZARUS L L	CHEM 10	LAZARUS L L	5	6	8		30
Physical Scienc	CHEM 10,LAZARUS L L	CHEM 10	LAZARUS L L	6	7	8		30
Physical Scienc	CHEM 10,TOUMARI A	CHEM 10	TOUMARI A	5	6	4		24
Physical Scienc	CHEM 10,TOUMARI A	CHEM 10	TOUMARI A	8	6	8		30
Physical Scienc	CHEM 10,KO H	CHEM 10	KO H	4	4	10		30
Physical Scienc	CHEM 10,KO H	CHEM 10	KO H	4	6	8		26
Physical Scienc	CHEM 10,SAYANI S	CHEM 10	SAYANI S	11	6	2		28
Physical Scienc	CHEM 10,SAYANI S	CHEM 10	SAYANI S	9	7	3		28
Physical Scienc	CHEM 10,PECORELLI T A	CHEM 10	PECORELLI T A	5	5	7		28
Physical Scienc	CHEM 10,PECORELLI T A	CHEM 10	PECORELLI T A	2	7	6		25
Physical Scienc	CHEM 11,NAULI S	CHEM 11	NAULI S	2	3	8		28
Physical Scienc	CHEM 11,NAULI S	CHEM 11	NAULI S	6	6	6		28
Physical Scienc	CHEM 11,NAULI S	CHEM 11	NAULI S	6	3	5		28
Physical Scienc	CHEM 11,MURPHY J E	CHEM 11	MURPHY J E	4	8	3		29
Physical Scienc	CHEM 11,MURPHY J E	CHEM 11	MURPHY J E	13	3	3		32
Physical Scienc	CHEM 11,MURPHY J E	CHEM 11	MURPHY J E	6	8	4	1	31
Physical Scienc	CHEM 11,GALLOGLY E B	CHEM 11	GALLOGLY E B	9	5	9		29
Physical Scienc	CHEM 11,GALLOGLY E B	CHEM 11	GALLOGLY E B	6	4	11		30
Physical Scienc	CHEM 11,GALLOGLY E B	CHEM 11	GALLOGLY E B	3	7	7		29
Physical Scienc	CHEM 11,SCHOLEFIELD M R	CHEM 11	SCHOLEFIELD M R	5	10	3		30
Physical Scienc	CHEM 11,SCHOLEFIELD M R	CHEM 11	SCHOLEFIELD M R	6	9	3		29
Physical Scienc	CHEM 11,SCHOLEFIELD M R	CHEM 11	SCHOLEFIELD M R	4	9	4		30
Physical Scienc	CHEM 11,ABBANI M A	CHEM 11	ABBANI M A	2	6	3		28
Physical Scienc	CHEM 11,ABBANI M A	CHEM 11	ABBANI M A	2	6	8		27
Physical Scienc	CHEM 12,TOIVONEN J E	CHEM 12	TOIVONEN J E	10	7	6		26
Physical Scienc	CHEM 12,FEREDE R	CHEM 12	FEREDE R	6	7	4		22
Physical Scienc	CHEM 12,FEREDE R	CHEM 12	FEREDE R	8	11	5		25
Physical Scienc	CHEM 12,FEREDE R	CHEM 12	FEREDE R	5	10	5		26
Physical Scienc	CHEM 12,HSIEH J M	CHEM 12	HSIEH J M	2	2	5		17
Physical Scienc	CHEM 12,HSIEH J M	CHEM 12	HSIEH J M	6	2	4		17
Physical Scienc	CHEM 12,HSIEH J M	CHEM 12	HSIEH J M	4	3	3		22
Physical Scienc	CHEM 12,MARTINEZ H L	CHEM 12	MARTINEZ H L	4	10	1		27
Physical Scienc	CHEM 21,HARWIG J F	CHEM 21	HARWIG J F	2	4	5		24
Physical Scienc	CHEM 21,HARWIG J F	CHEM 21	HARWIG J F	7	5	5		25
Physical Scienc	CHEM 21,KLINE M L	CHEM 21	KLINE M L	5	10	6		27
Physical Scienc	CHEM 21,KLINE M L	CHEM 21	KLINE M L	9	9	6		29
Physical Scienc	CHEM 22,ANDERSON JAMEY L	CHEM 22	ANDERSON JAMEY L	9	13	9		39
Physical Scienc	CHEM 24,SCHWYTER D H	CHEM 24	SCHWYTER D H	9	8	2		24
Physical Scienc	CHEM 24,NGUYEN J V	CHEM 24	NGUYEN J V	17	8			27
Physical Scienc	CHEM 31,SCHWYTER D H	CHEM 31	SCHWYTER D H	4	5	3		15
Physical Scienc	ENGR 12,FARIVAR D	ENGR 12	FARIVAR D	5	2	2		21
Physical Scienc	PHY SC 88B,ANDERSON JAMEY L	PHY SC 88B	ANDERSON JAMEY L	9				9
Physical Scienc	PHYSCS 6,PAIK S T	PHYSCS 6	PAIK S T	1	7	4		28
Physical Scienc	PHYSCS 6,PAIK S T	PHYSCS 6	PAIK S T	1	6	7		22
Physical Scienc	PHYSCS 6,DO M H	PHYSCS 6	DO M H	8	12	5	1	29
Physical Scienc	PHYSCS 7,PAIK S T	PHYSCS 7	PAIK S T	4	11	4		26
Physical Scienc	PHYSCS 8,AHLQVIST P	PHYSCS 8	AHLQVIST P	5	4	4		27
Physical Scienc	PHYSCS 8,KAMAGA C N	PHYSCS 8	KAMAGA C N	10	2	5		24
Physical Scienc	PHYSCS 9,MENACHEKANIAN E	PHYSCS 9	MENACHEKANIAN E	1	9	4		23
Physical Scienc	PHYSCS 12,MASADA R S	PHYSCS 12	MASADA R S	11	8	13	1	39
Physical Scienc	PHYSCS 12,MURPHY T J	PHYSCS 12	MURPHY T J	7	8	1		40
Physical Scienc	PHYSCS 14,MENACHEKANIAN E	PHYSCS 14	MENACHEKANIAN E	2	3	4		23
Physical Scienc	PHYSCS 14,MORSE P A	PHYSCS 14	MORSE P A	10	12	5	1	29
Physical Scienc	PHYSCS 14,MENACHEKANIAN E	PHYSCS 14	MENACHEKANIAN E	1	4	6	1	28
Physical Scienc	PHYSCS 14,HENDERSON J M	PHYSCS 14	HENDERSON J M	8	5	2	1	26
Physical Scienc	PHYSCS 14,HENDERSON J M	PHYSCS 14	HENDERSON J M	3	4	4	7	22
Physical Scienc	PHYSCS 14,KOCHARIAN A	PHYSCS 14	KOCHARIAN A	5	8	5		25
Physical Scienc	PHYSCS 21,AHLQVIST P	PHYSCS 21	AHLQVIST P	4	10	4		31
Physical Scienc	PHYSCS 21,SAID A W	PHYSCS 21	SAID A W	6	5	6		32
Physical Scienc	PHYSCS 21,MORRIS J J	PHYSCS 21	MORRIS J J	2	4	3		26
Physical Scienc	PHYSCS 21,MORRIS J J	PHYSCS 21	MORRIS J J	5	3	3		18
Physical Scienc	PHYSCS 21,LEV N R	PHYSCS 21	LEV N R	4	8	6		29
Physical Scienc	PHYSCS 22,MORRIS J J	PHYSCS 22	MORRIS J J	3	5	3		20
Physical Scienc	PHYSCS 22,HALL A J	PHYSCS 22	HALL A J	14	7	3		32
Physical Scienc	PHYSCS 22,GAMBLE B K	PHYSCS 22	GAMBLE B K	10	15	3		34
Physical Scienc	PHYSCS 23,CHEUNG KW H	PHYSCS 23	CHEUNG KW H	5	2	4		20
Physical Scienc	PHYSCS 23,ROJAS R R	PHYSCS 23	ROJAS R R	9	8	4		25
Physical Scienc	PHYSCS 23,MAJLESSI A	PHYSCS 23	MAJLESSI A	6	8	10		32
Psychology	ENVRN 40,SCHWARTZ A F	ENVRN 40	SCHWARTZ A F	8	1	4		27
Psychology	PSYCH 1,WHITE K R	PSYCH 1	WHITE K R	13	6	12	1	47
Psychology	PSYCH 1,DAVIS T D	PSYCH 1	DAVIS T D	6	6	2		32
Psychology	PSYCH 1,GHANE A	PSYCH 1	GHANE A	9	10	8		43
Psychology	PSYCH 1,GUILD L A	PSYCH 1	GUILD L A	3	8	10		47
Psychology	PSYCH 1,SHIRINYAN D	PSYCH 1	SHIRINYAN D	9	7	10	1	42
Psychology	PSYCH 1,DE LOACH C D	PSYCH 1	DE LOACH C D	7	13	9		42
Psychology	PSYCH 1,O'LEARY B A	PSYCH 1	O'LEARY B A	3	1	6		41
Psychology	PSYCH 1,CHIN D	PSYCH 1	CHIN D	7	7	12		47
Psychology	PSYCH 1,LAURENT M G	PSYCH 1	LAURENT M G	4	4	11	1	42
Psychology	PSYCH 1,WHITE K R	PSYCH 1	WHITE K R	15	6	12		43
Psychology	PSYCH 1,GUILD L A	PSYCH 1	GUILD L A	6	10	12		50
Psychology	PSYCH 1,PHILLIPS D M	PSYCH 1	PHILLIPS D M	7	12	12		48
Psychology	PSYCH 1,BERG D S	PSYCH 1	BERG D S	13	13	9		43
Psychology	PSYCH 1,GHANE A	PSYCH 1	GHANE A	15	7	9		45
Psychology	PSYCH 1,CHIN D	PSYCH 1	CHIN D	6	8	8		43
Psychology	PSYCH 1,PHILLIPS D M	PSYCH 1	PHILLIPS D M	20	9			30
Psychology	PSYCH 1,FARWELL L A	PSYCH 1	FARWELL L A	12	4	10		50
Psychology	PSYCH 1,LOEB T B	PSYCH 1	LOEB T B	9	9	8		43
Psychology	PSYCH 1,CHAMBERS C	PSYCH 1	CHAMBERS C	6	10	11		47
Psychology	PSYCH 1,DE LOACH C D	PSYCH 1	DE LOACH C D	10	9	9		45
Psychology	PSYCH 1,DAVIS T D	PSYCH 1	DAVIS T D	6	5	11		52
Psychology	PSYCH 1,PEMBERTON J V	PSYCH 1	PEMBERTON J V	12	8	1		25
Psychology	PSYCH 1,LOEB T B	PSYCH 1	LOEB T B	11	5	6		38
Psychology	PSYCH 1,PHILLIPS D M	PSYCH 1	PHILLIPS D M	4	13	13		46
Psychology	PSYCH 1,LOEB T B	PSYCH 1	LOEB T B	11	6	8		43
Psychology	PSYCH 1,PHILLIPS D M	PSYCH 1	PHILLIPS D M	4	10	8		43
Psychology	PSYCH 1,SHIRINYAN D	PSYCH 1	SHIRINYAN D	3	15	14		46
Psychology	PSYCH 1,FARWELL L A	PSYCH 1	FARWELL L A	12	2	12		43
Psychology	PSYCH 1,DAVIS-KING D T	PSYCH 1	DAVIS-KING D T	17	19	5		51
Psychology	PSYCH 1,O'LEARY B A	PSYCH 1	O'LEARY B A	1	7	4		28
Psychology	PSYCH 1,CHAMBERS C	PSYCH 1	CHAMBERS C	9	13	13		50
Psychology	PSYCH 1,GHANE A	PSYCH 1	GHANE A	17	9	2		38
Psychology	PSYCH 1,DAVIS-KING D T	PSYCH 1	DAVIS-KING D T	13	11	9		44
Psychology	PSYCH 1,CHAMBERS C	PSYCH 1	CHAMBERS C	10	12	10		45
Psychology	PSYCH 1,SAGE R	PSYCH 1	SAGE R	2	4	6		44
Psychology	PSYCH 1,SCHWARTZ A F	PSYCH 1	SCHWARTZ A F	12	12	12		47
Psychology	PSYCH 1,DE LOACH C D	PSYCH 1	DE LOACH C D	15	11	9		42
Psychology	PSYCH 1,SCHWARTZ A F	PSYCH 1	SCHWARTZ A F	1	3	5		17
Psychology	PSYCH 1,SNYDER A	PSYCH 1	SNYDER A	14	14	8		46
Psychology	PSYCH 1,DAVIS T D	PSYCH 1	DAVIS T D	2	11	3		36
Psychology	PSYCH 1,FARWELL L A	PSYCH 1	FARWELL L A	9	8	11		47
Psychology	PSYCH 1,ABARA J P	PSYCH 1	ABARA J P	18	19			44
Psychology	PSYCH 1,DAVIS-KING D T	PSYCH 1	DAVIS-KING D T	10	19	7	1	46
Psychology	PSYCH 1,SMITH-CLARK C T	PSYCH 1	SMITH-CLARK C T	17	11	2		47
Psychology	PSYCH 1,SMITH-CLARK C T	PSYCH 1	SMITH-CLARK C T	16	10	4		44
Psychology	PSYCH 1,SNYDER A	PSYCH 1	SNYDER A	16	5	8		43
Psychology	PSYCH 1,OLSON GENE C	PSYCH 1	OLSON GENE C	6	12	6		41
Psychology	PSYCH 2,SHIRINYAN D	PSYCH 2	SHIRINYAN D	6	12	9		53
Psychology	PSYCH 2,SHIRINYAN D	PSYCH 2	SHIRINYAN D	7	12	6		52
Psychology	PSYCH 2,RUSSELL R L	PSYCH 2	RUSSELL R L	3	6	7		43
Psychology	PSYCH 2,SAGE R	PSYCH 2	SAGE R	2	3	3		37
Psychology	PSYCH 2,SHIRINYAN D	PSYCH 2	SHIRINYAN D	10	8	2		28
Psychology	PSYCH 2,RUSSELL R L	PSYCH 2	RUSSELL R L	5	4	16		43
Psychology	PSYCH 2,SAGE R	PSYCH 2	SAGE R	1	3	3		30
Psychology	PSYCH 2,OLSON GENE C	PSYCH 2	OLSON GENE C	5	6	13		43
Psychology	PSYCH 2,OLSON GENE C	PSYCH 2	OLSON GENE C	10	8	8		43
Psychology	PSYCH 3,CHIN D	PSYCH 3	CHIN D	6	14	8		35
Psychology	PSYCH 3,CHIN D	PSYCH 3	CHIN D	11	12	8		40
Psychology	PSYCH 5,DE LOACH C D	PSYCH 5	DE LOACH C D	8	8	5		36
Psychology	PSYCH 5,DE LOACH C D	PSYCH 5	DE LOACH C D	5	10	12		41
Psychology	PSYCH 6,GUILD L A	PSYCH 6	GUILD L A	16	20	6		51
Psychology	PSYCH 11,TANNATT M G M	PSYCH 11	TANNATT M G M	9	4	10		38
Psychology	PSYCH 11,MATHESON C C	PSYCH 11	MATHESON C C	23	2	1		29
Psychology	PSYCH 11,BERG D S	PSYCH 11	BERG D S	8	8	4		29
Psychology	PSYCH 11,MATHESON C C	PSYCH 11	MATHESON C C	13	5	6		41
Psychology	PSYCH 11,TANNATT M G M	PSYCH 11	TANNATT M G M	4	4	10		42
Psychology	PSYCH 11,TANNATT M G M	PSYCH 11	TANNATT M G M	5	5	7		33
