Acad of Enter	ET 88C,FRIA C T 	ET 88C	FRIA C T 					1
Art	ART 20B,HATTON C	ART 20B	HATTON C	25	2		1	31
Art	ART 20B,KOMPANEYETS M	ART 20B	KOMPANEYETS M	16	3	2		28
Art	ART 20C,WINSRYG M W	ART 20C	WINSRYG M W	10	1	1		15
Art	ART 21A,KOMPANEYETS M	ART 21A	KOMPANEYETS M	24	4			30
Art	ART 21A,TRUJILLO M E	ART 21A	TRUJILLO M E	11	11	2		28
Art	ART 21A,OCONNELL J L	ART 21A	OCONNELL J L	4	8	5		24
Art	ART 21B,TRUJILLO M E	ART 21B	TRUJILLO M E	10	7	1		21
Art	ART 30A,SHIBATA J M	ART 30A	SHIBATA J M	20	1	4		33
Art	ART 30C,OTA N T	ART 30C	OTA N T	7	7	2		27
Art	ART 30C,OTA N T	ART 30C	OTA N T	12	4			29
Art	ART 31,TRUJILLO M E	ART 31	TRUJILLO M E	16	2			25
Art	ART 31,LOPEZ L G	ART 31	LOPEZ L G	5	5	3		22
Art	ART 31,DAVIS R L	ART 31	DAVIS R L	13	1	2		19
Art	ART 31,ZARCONE J	ART 31	ZARCONE J	5	4	1		16
Art	ART 32,DAVIS R L	ART 32	DAVIS R L	10	1			14
Art	ART 32,LOPEZ L G	ART 32	LOPEZ L G	5	5		3	22
Art	ART 32,ZARCONE J	ART 32	ZARCONE J	2	2	1		5
Art	ART 33,TRUJILLO M E	ART 33	TRUJILLO M E	7	3	2		18
Art	ART 34A,LOPEZ L G	ART 34A	LOPEZ L G	11	5	2	1	28
Art	ART 34A,KAGAN SHARON	ART 34A	KAGAN SHARON	1	5	5	1	21
Art	ART 34B,LOPEZ L G	ART 34B	LOPEZ L G	11	4	1		23
Art	ART 40A,HARTMAN D G	ART 40A	HARTMAN D G	22	1			23
Art	ART 40A,HARTMAN D G	ART 40A	HARTMAN D G	15	3			22
Art	ART 40A,BROMBERG T L	ART 40A	BROMBERG T L	11	7			20
Art	ART 40B,HARTMAN D G	ART 40B	HARTMAN D G	12	4			17
Art	ART 40B,BROMBERG T L	ART 40B	BROMBERG T L	1				5
Art	ART 40C,HARTMAN D G	ART 40C	HARTMAN D G	5			1	8
Art	ART 41A,SIMON D L	ART 41A	SIMON D L	3	8		1	21
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	20	4	1	2	27
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	15	8	1		27
Art	ART 52A,PHILLIPS F	ART 52A	PHILLIPS F	25	2	1		29
Art	ART 52B,PHILLIPS F	ART 52B	PHILLIPS F	10	5		1	16
Art	ART 52C,PHILLIPS F	ART 52C	PHILLIPS F	9	1	1		13
Art	ART 60,THOMASON M M	ART 60	THOMASON M M	17	5	2		26
Art	ART 60,SCHMELTZ L A	ART 60	SCHMELTZ L A	12		1		19
Art	ARTS 88A,DAVIS R L	ARTS 88A	DAVIS R L	6				6
Art	ARTS 88B,DAVIS R L	ARTS 88B	DAVIS R L	1				2
Art	DESIGN 87J,HATTON C	DESIGN 87J	HATTON C	21	1			24
Athletics	VAR PE 20V,LINDHEIM G M	VAR PE 20V	LINDHEIM G M	53	4	6		70
Athletics	VAR PE 20V,GARCIA S M	VAR PE 20V	GARCIA S M	21	3	2		37
Athletics	VAR PE 20V,WILLIAMS DONNELL A	VAR PE 20V	WILLIAMS DONNELL A	8	2	2		15
Athletics	VAR PE 45,SOTO D P	VAR PE 45	SOTO D P	14				15
Athletics	VAR PE 48V,CONTARSY S A	VAR PE 48V	CONTARSY S A	16				23
Athletics	VAR PE 48,CONTARSY S A	VAR PE 48	CONTARSY S A	11				13
Athletics	VAR PE 54,GOLDENSON R M	VAR PE 54	GOLDENSON R M	8				8
Athletics	VAR PE 56V,SILVA L	VAR PE 56V	SILVA L	21	5			37
Athletics	VAR PE 56,SILVA L	VAR PE 56	SILVA L	10	1	1		19
Athletics	VAR PE 57V,MAYER J L	VAR PE 57V	MAYER J L	12				20
Athletics	VAR PE 60,PEHANICH J	VAR PE 60	PEHANICH J	14				14
Athletics	VAR PE 60,NEWBILL I M	VAR PE 60	NEWBILL I M	14				14
Athletics	VAR PE 60,PIERCE T L	VAR PE 60	PIERCE T L	27				27
Athletics	VAR PE 60,GARCIA S M	VAR PE 60	GARCIA S M	11	3	2		19
Athletics	VAR PE 60,HEROLD M J	VAR PE 60	HEROLD M J	6				7
Business	ACCTG 1,SCHAPA E J	ACCTG 1	SCHAPA E J	21	13	2		43
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	17	8	3		49
Business	ACCTG 1,ARAKELIAN A	ACCTG 1	ARAKELIAN A	13	11	7		41
Business	ACCTG 1,TRIPPETTI V J	ACCTG 1	TRIPPETTI V J	17	15	8		56
Business	ACCTG 1,MAIER L S	ACCTG 1	MAIER L S	23	6	3		47
Business	ACCTG 1,SCHAPA E J	ACCTG 1	SCHAPA E J	28	7			39
Business	ACCTG 1,KNIGHT R B	ACCTG 1	KNIGHT R B	14	2	10		47
Business	ACCTG 1,NAULT W H	ACCTG 1	NAULT W H	8	2	2		39
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	21	5	2		40
Business	ACCTG 1,RESNICK W J	ACCTG 1	RESNICK W J	25	9	2		47
Business	ACCTG 1,HALLIDAY P D	ACCTG 1	HALLIDAY P D	10	10	9		41
Business	ACCTG 1,HALLIDAY P D	ACCTG 1	HALLIDAY P D	5	13	5		34
Business	ACCTG 1,BROOKINS G T	ACCTG 1	BROOKINS G T	13	6	2		35
Business	ACCTG 1,FITZGERALD R L	ACCTG 1	FITZGERALD R L	13	9	5		39
Business	ACCTG 1,DEMETRE N J	ACCTG 1	DEMETRE N J	22	8	6		49
Business	ACCTG 1,PLATZ W A	ACCTG 1	PLATZ W A	1	7	3		34
Business	ACCTG 1,MAIER L S	ACCTG 1	MAIER L S	15	4	7		42
Business	ACCTG 1,ARAKELIAN A	ACCTG 1	ARAKELIAN A	14	5	11		41
Business	ACCTG 1,NAULT W H	ACCTG 1	NAULT W H	6	7	3		32
Business	ACCTG 2,BROOKINS G T	ACCTG 2	BROOKINS G T	9	2	4		36
